Sl No ,REGISTERED DISTRICT ,Registered PS ,FIR No. ,TRANSFERRED DISTRICT ,Transferred PS ,Re registered FIR No. ,Reason for transferring FIR 
300,ETAWAH ,JASWANT NAGAR ,0122/2016 ,AGRA ,HARI PARVAT ,,बरािि िोटर साइहकल आगरा क्षेत्र की होने के कारण 
,,,,,,,
301,CIVIL LINES ,0193/2017 ,FATEHGARH ,KAMPIL ,0236/2017 ,Investitaion transfer by the order sho ,
,,,,,,,
302,BASREHAR ,0206/2015 ,ETAWAH ,KOTWALI ,,घटना स्थल कोतवाली का है ,
,,,,,,,
303,BALRAI ,0024/2016 ,ETAWAH ,JASWANT NAGAR ,0202/2016 ,घटनास्थल का थाना जसवन्तनगर के क्षेत्र का होने के कारण ,
,,,,,,,
304,KOTWALI ,0758/2015 ,ETAWAH ,CHAKAR NAGAR ,,घटना स्थल चकरनगर का होने के कारण ,
,,,,,,,
305,KOTWALI ,0825/2015 ,ETAWAH ,BHARTHANA ,,अमधकारीगणों के आिे शानुसार ,
,,,,,,,
306,KOTWALI ,0484/2017 ,ETAWAH ,JASWANT NAGAR ,,घटना स्थल जसवन्तनगर का होने के कारण ,
,,,,,,,
307,SEFAI ,0109/2016 ,FIROZABAD ,SIRSA GANJ ,,बववेचना थाना मसरसागंज से की जायेगी ,
,,,,,,,
308,FAIZABAD ,KOTWALI RUDAULI ,0000/2017 ,BAHRAICH ,PAYAGPUR ,,प्रकरण िें बराििगी का सम्बन्ध थाना क्षेत्र पयागपुर न्जला बहराइच से है 
,,,,,,,
309,KUMARGANJ ,0000/2016 ,PRATAPGARH ,KOHANDAUR ,,एक अिि चोरी की िो0सा0 सम्बन्न्धत थाना क्षेत्र से है। ,
,,,,,,,
310,KOTWALI BIKAPUR ,0307/2015 ,PRATAPGARH ,KOTWALI CITY ,,चोरी की िोटर साइहकल सम्बन्न्धत थाने से है ,
,,,,,,,
,,,,,,,
FAIZABAD ,,,,,,,
,,,,,,,
311,,KOTWALI BIKAPUR ,0000/2015 ,FAIZABAD ,RAMJANAM BHUMI ,,ि0ु अ0स0ं 82/2015 धारा 379 भािबव से सम्बन्न्धत चोरी की िोटर साईहकल पैसन प्रो UP42U4009 का बरािि होना 
,,,,,,,
312,HAIDERGANJ ,0000/2016 ,FAIZABAD ,KOTWALI NAGAR ,,स्थानान्तरण को0नगर ,
,,,,,,,
313,KOTWALI NAGAR ,0037/2016 ,FAIZABAD ,KOTWALI AYODHYA ,,घटना स्थल थाना कोतवाली अयोध्या होने के कारण ,
,,,,,,,
314,KOTWALI NAGAR ,0179/2016 ,FAIZABAD ,KOTWALI AYODHYA ,,िुकििा उपरोक्त िें घटना स्थल कोतवाली अयोध्या होने के कारण बववेचना पूवट िें ही थाना कोतवाली अयोध्या स्थानान्तररत की जा च कु ी ह ै ,
,,,,,,,
315,KOTWALI NAGAR ,0320/2016 ,FAIZABAD ,MAHILA THANA ,,िहहला उत्पीडन का अमभयोग होने के कारण बववेचना िहहला थाना जनपि फै जाबाि स्थानान्तररत की जाती है ,
,,,,,,,
316,RAUNAHI ,0085/2015 ,FAIZABAD ,CANTT ,,श्रीिान क्षेत्रामधकारी सिर िहोिय के आिेशानुसार हिनााँक 28.4.15 को थाना कैण्ट जनपि फैजाबाि से बववेचना होने के आिेशानुसार ,
,,,,,,,
317,RAUNAHI ,0243/2015 ,FAIZABAD ,RAUNAHI ,,सहबन CO सिर से उ0मन0 कु 0 रत्ना को स्थानांतरण ,
,,,,,,,
318,RAUNAHI ,0316/2015 ,FAIZABAD ,PURAKALANDAR ,,घटना स्थल प्रभात नगर थाना पूरा कलन्िर पाये जाने के कारण ,
,,,,,,,
319,RAUNAHI ,0230/2016 ,FAIZABAD ,TARUN ,,हस्व आिेश श्रीिान वररष्ठ पुमलस अधीक्षक िहोिय जनपि फैजाबाि के आिेशानुसार हिनााँक 23.7.16को स्थानान्तररत थाना तारून जनपि फै जाबाि की गयी । ,
,,,,,,,
320,RAMJANAM BHUMI ,0154/2015 ,FAIZABAD ,KOTWALI AYODHYA ,,बववेचना थाना को0 अयोध्या से प्रचमलत ,
,,,,,,,
321,MAWAI ,0183/2016 ,BARABANKI ,ASANDRA ,,घटना स्थल थाना क्षेत्र असन्रा का होने के कारण ,
,,,,,,,
322,INAYATNAGAR ,1600/2016 ,GORAKHPUR ,CANTT ,,ि0ु अ0स0ं 1600/16 धारा 41/411 IPC से सम्बन्न्धत गाडी से सम्बन्न्धत ि0ु अ0स0ं 880/14 धारा 379 IPC थाना कै न्ट न्जला गोरखपुर से सम्बन्न्धत है व िसू री गाडी ि0ु अ0स0ं 530/15 धारा 379IPCथाना कैन्ट न्जला गोरखपुर िें चोरी का िुकििा पंजीकृत है अतः उच्चामधकारी गणों के आिेशानुसार बववेचना थाना कैन्ट जनपि गोरखपुर स्थानान्तरण हकया जाता है। ,
,,,,,,,
323,CANTT ,0005/2015 ,MAHRAJGANJ ,GHUGHALI ,,घटना स्थल थाना घुघली जनपि िहराज गंज का होने के कारण ,
,,,,,,,
324,HAIDERGANJ ,0260/2015 ,SULTANPUR ,KUREBHAR ,,घटनास्थल थाना कू डेभार होने के कारण ,
,,,,,,,
325,KOTWALI NAGAR ,0471/2016 ,FIROZABAD ,GRP TUNDLA JUNCTION ,,सम्बन्न्धत प्रकरण का टूंडला स्टेशन पर होने के कारण ,
,,,,,,,
326,GOSAINGANJ ,0264/2017 ,AMBEDKAR NAGAR ,ALAPUR ,,थाना आलापुर िें पंजीकृ त अमभयोग 75/17 धारा 379 भािबव से सम्बन्न्धत एक अिि बोलेरो नं UP 50 E 8200 से बिलकर UP 45 E 8082 मलखकर प्रयुक्त करना िुकििा उपरोक्त से सम्बन्न्धत वाहन कस्बा गोशाईगंज से वरािि होने के कारण ि0ु अ0स0ं 264/17 धारा 420/41/411/413 भािबव स्थानान्तररत की जा रही है। ,
,,,,,,,
327,TARUN ,0195/2016 ,AMBEDKAR NAGAR ,BHITI ,,बबबेचना संबंमधत थाने पर होने के कारण ,
,,,,,,,
328,KHANDASA ,0000/2015 ,AMETHI ,MUSAFIRKHANA ,,बरािि िो0सा0 का सम्बन्ध थाना िुसाहफर खाना जनपि अिेठी से है ,
,,,,,,,
329,TARUN ,0048/2016 ,AMETHI ,BAZARSHUKUL ,,बबबेचना संबंमधत थाने पर होने के कारण ,
,,,,,,,
330,MAWAI ,0120/2017 ,LUCKNOW ,GAZIPUR ,0774/2017 ,घटनास्थल थाना गाजीपुर जनपि लखनऊ होने के कारण हस्व आिेश श्रीिान वररष्ठ पुमलस अमधक्षक िहोिय फैजाबाि के बववेचना थाना िवई जनपि फै जाबाि से थाना गाजीपुर जनपि फै जाबाि को स्थानान्तरण हकया जा रहा है ,
,,,,,,,
331,KOTWALI RUDAULI ,0000/2016 ,LUCKNOW ,P.G.I. ,,प्रकरण िें घटना स्थल थाना क्षेत्र पी0जी0आई0 लखनऊ िें प्रकाश िें आया ,
,,,,,,,
332,FATEHGARH ,FATEHGARH KOTWALI ,0417/2015 ,AGRA ,SIKANDARA ,,घटना स्थल जनपि आगरा का होने के कारण 
,,,,,,,
333,AMRITPUR ,0091/2017 ,HARDOI ,SANDILA ,,थाना सण्डीला से सम्बन्न्धत ,
,,,,,,,
334,FATEHGARH KOTWALI ,0108/2015 ,KANPUR CITY ,KALYANPUR ,,इसी घटना के सम्बन्ध िें थाना कल्यानपुर जनपि कानपुर नगर पूवट से अमभयोग पंजीकृत है। ,
,,,,,,,
335,MOHMADABAD ,0526/2015 ,KANPUR CITY ,ANWARGANJ ,,बववेचना मनष्पक्ष कराये जाने हेतु श्रीिान पुमलस उपिहामनरीक्षक के आिेश के क्रि िें बववेचना जनपि फतेहगढ से कानपुर नगर स्थानान्तररत की जाती है ,
,,,,,,,
336,GRP FARRUKHABAD ,0021/2016 ,KANPUR CITY ,GRP KANPUR ,,घटनास्थल grp कानपुर सेन्ट्रल होने के कारण हि0 11/08/2016 को स्थानान्तररत हकया गया ,
,,,,,,,
337,GRP FARRUKHABAD ,0024/2016 ,KANPUR CITY ,GRP KANPUR ,,घटनास्थल थाना grp कानपुर सेन्ट्रल का होने के कारण हि0 02/08/16 को स्थानान्तररत हकया गया ,
,,,,,,,
338,GRP FARRUKHABAD ,0025/2016 ,KANPUR CITY ,GRP KANPUR ,,घटनास्थल थाना grp कानपुर सेन्ट्रल होने के कारण हि0 01/08/2016 को स्थानान्तररत हकया गया। ,
,,,,,,,
339,NAWABGANJ ,0333/2016 ,MAINPURI ,ALLAU ,,िैनपुरी स्थानान्तरण ,
,,,,,,,
340,MOHMADABAD ,2000/2016 ,GHAZIABAD ,VIJAY NAGAR ,,घटना स्थल थाना क्षेत्र बवजय नगर जनपि गान्जयाबाि स्थानान्तररत की जाती है ,
,,,,,,,
341,NAWABGANJ ,0032/2015 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटना स्थल गान्जयाबाि का होने के कारण ,
,,,,,,,
342,KAYAMGANJ ,0467/2016 ,FATEHGARH ,SAMSABAD ,,श्रीिान पुमलस अधीक्षक िहोिय के आिे शानुसार ,
,,,,,,,
343,KAYAMGANJ ,0596/2016 ,FATEHGARH ,RAJEPUR ,0295/2016 ,बववेचना SO राजेपुर िहोिय िारा सम्पाहित की जाएगी ,
,,,,,,,
344,KAYAMGANJ ,0646/2016 ,FATEHGARH ,SAMSABAD ,,श्रीिान क्षेत्रामधकारी िहोिय के आिेशानुसार ,
,,,,,,,
345,KAMALGANJ ,0412/2015 ,FATEHGARH ,MOHMADABAD ,,आिेश क्षेत्रामधकारी ,
,,,,,,,
346,KAMALGANJ ,0027/2017 ,FATEHGARH ,JAHANGANJ ,0001/2017 ,उपरोक्त िुकििा थाना जहानगंज से सम्वन्न्धत है। तथा घटना स्थल भी थाना जहानगंज क्षेत्र का है। ,
,,,,,,,
347,KAMALGANJ ,0033/2017 ,FATEHGARH ,GRP FARRUKHABAD ,,िुकििा उपरोक्त थाना जी.आर.पी.फरुटखाबाि से सम्वन्न्धत है। ,
,,,,,,,
348,MAUDARWAZA ,0000/2015 ,FATEHGARH ,MOHMADABAD ,,घटना स्थल थाना िोहम्ििाबाि से सम्बन्न्धत होने के कारण ,
,,,,,,,
349,MAUDARWAZA ,0517/2015 ,FATEHGARH ,FARRUKHABAD KOTWALI ,,घटना स्थल थाना कोतवाली फरूटखाबाि से सम्बन्न्धत होने के कारण ,
,,,,,,,
350,MAUDARWAZA ,0524/2015 ,FATEHGARH ,JAHANGANJ ,,घटनास्थल थाना जहानगंज का होने के कारण ,
,,,,,,,
351,MAUDARWAZA ,0070/2016 ,FATEHGARH ,MAUDARWAZA ,,थाना स्थानीय पर घटना स्थल का होना ,
,,,,,,,
352,MAUDARWAZA ,0904/2016 ,FATEHGARH ,FARRUKHABAD KOTWALI ,,घटना स्थल थाना कोतवाली फरूटखाबाि से सम्बन्न्धत होने के कारण ,
,,,,,,,
353,MAUDARWAZA ,0905/2016 ,FATEHGARH ,MOHMADABAD ,,घटनास्थल थाना िोहम्ििाबाि क्षेत्र का होना ,
,,,,,,,
354,MAUDARWAZA ,0092/2017 ,FATEHGARH ,KAMALGANJ ,0241/2017 ,घटना स्थल थाना किालगंज से सम्बन्न्धत है ,
,,,,,,,
355,MAUDARWAZA ,0169/2017 ,FATEHGARH ,MOHMADABAD ,,थाना घटना स्थल थाना िो0 बाि से सम्बन्न्धत है ,
,,,,,,,
356,MAUDARWAZA ,0170/2017 ,FATEHGARH ,KAMALGANJ ,,घटना स्थल किालगंज से सम्बन्न्धत है । ,
,,,,,,,
357,MAUDARWAZA ,0323/2017 ,FATEHGARH ,NAWABGANJ ,0212/2017 ,घटना स्थल थाना नवावगंज का होने के कारण ,
,,,,,,,
358,MAUDARWAZA ,0326/2017 ,FATEHGARH ,NAWABGANJ ,0213/2017 ,घटना स्थल थाना नवावगंज से सम्बन्न्धत होने के कारण ,
,,,,,,,
359,FATEHGARH KOTWALI ,0396/2016 ,BAREILLY ,BARADARI ,,घटना स्थल जनपि बरेली को होने कारण ,
,,,,,,,
360,RAJEPUR ,0084/2016 ,BAREILLY ,NAWABGANJ ,,घटनास्थल परवन थाना नवाबगंज जनपि बरेली से सम्बन्न्धत होने के कारण ,
,,,,,,,
361,MOHMADABAD ,0508/2015 ,FATEHGARH ,RAJEPUR ,,श्रीिान पुमलस अधीक्षक िहोिय के आिेशानुसार बववेचना मनष्पक्ष कराये जाने हेतु बववेचना थाना राजेपुर स्थानान्तररत की जाती है ,
,,,,,,,
362,NAWABGANJ ,0295/2015 ,FATEHGARH ,MAUDARWAZA ,,जांच transfer ,
,,,,,,,
363,NAWABGANJ ,0136/2016 ,FATEHGARH ,MAUDARWAZA ,,janch hetu ,
,,,,,,,
364,NAWABGANJ ,0313/2016 ,FATEHGARH ,MOHMADABAD ,,घटना िसू रे थाने की होना ,
,,,,,,,
365,NAWABGANJ ,0390/2016 ,FATEHGARH ,MOHMADABAD ,,सही तथ्य व जांच हेतु ,
,,,,,,,
366,,NAWABGANJ ,0392/2016 ,FATEHGARH ,MOHMADABAD ,,पुमलस अधीक्षक के आिे शानुसार 
,,,,,,,
367,RAJEPUR ,0132/2016 ,FATEHGARH ,JAHANGANJ ,0214/2016 ,िाननीयपुमलसअधीक्षकिहोियके आिेशहिं022/6/16कोथाना राजेपुर से थाना जहानगंज को स्थानान्तररत हकया गया ,
,,,,,,,
368,SAMSABAD ,0140/2017 ,FATEHGARH ,NAWABGANJ ,,घटनास्थल थाना नबावगंज जनपि फरुटखाबाि क्षेत्र िें होने के कारण ,
,,,,,,,
369,KAMALGANJ ,0411/2015 ,KANNAUJ ,KOTWALI GURSAHAIGANJ ,,आिेश न्यायालय ,
,,,,,,,
370,MOHMADABAD ,0080/2015 ,KANNAUJ ,KOTWALI CHHIBRAMAU ,,घटना स्थल पीएनबी शाखा मछबरािऊ कन्नौज का पाया जाने पर ,
,,,,,,,
371,MOHMADABAD ,0505/2015 ,KANNAUJ ,SAURIKH ,,घटना स्थल ग्राि सकरावा थाना सौररख जनपि कन्नौज का होने के कारण ,
,,,,,,,
372,NAWABGANJ ,0226/2015 ,KANNAUJ ,KOTWALI KANNAUJ ,,janch hetu ,
,,,,,,,
373,FATEHPUR ,BINDKI ,0808/2016 ,KANPUR CITY ,KALYANPUR ,,घटना स्थल अन्यत्र क्षेत्र का होने के कारण 
,,,,,,,
374,GAZIPUR ,1000/2016 ,KANPUR CITY ,MAHARAJPUR ,,हि0 14.12.16 को यह बववेचना िो0सा0 ि0अ0स0ं 516/16 धारा 379 सुपुिट की गयी ,
,,,,,,,
375,BAKEWAR ,0176/2016 ,FATEHPUR ,BINDKI ,,घटना उक्त थाना क्षेत्र से सम्बन्न्धत है। ,
,,,,,,,
376,BINDKI ,0110/2016 ,FATEHPUR ,ZAFARGANJ ,0043/2017 ,घटना स्थल थाना जाफरगंज होने के कारण ,
,,,,,,,
377,CHANDPUR ,0295/2016 ,FATEHPUR ,BINDKI ,0838/2016 ,घटनास्थल बबन्िकी कोतवाली के क्षेत्र िें होने के कारण ,
,,,,,,,
378,GAZIPUR ,0017/2016 ,FATEHPUR ,LALAULI ,,श्रत्रे ामधकारी िहोिय जाफरगंज फतेहपुर के आिेशानुसार ,
,,,,,,,
379,ZAFARGANJ ,0259/2016 ,FATEHPUR ,BINDKI ,0831/2016 ,आिेश श्रीिान पुमलस अधीक्षक िहोिय क्योहक घटनास्थल थाना बबन्िकी का है ,
,,,,,,,
380,THARIAON ,0256/2015 ,FATEHPUR ,GRP FATEHPUR ,,घटना जीआरपी क्षेत्र होने के कारण एफआईआर स्थानान्तररत की गयी। ,
,,,,,,,
381,GAUTAM BUDH NAGAR ,NOIDA PHASE-II ,0593/2015 ,AGRA ,MAHILA THANA ,0242/2016 ,घटना स्थल आगरा पाया गया 
,,,,,,,
382,DADRI ,0025/2016 ,GHAZIABAD ,KAVI NAGAR ,,चोरी की िोटर साईहकल थाना कबवनगर से सम्बन्न्धत है । ,
,,,,,,,
383,DADRI ,0407/2016 ,GHAZIABAD ,KHODA ,,ट्रैक्टर ट्राली थाना खोडा से सम्बन्न्धत है । ,
,,,,,,,
384,NOIDA SECTOR-24 ,0607/2016 ,MORADABAD ,CIVIL LINES ,,घटना स्थल मसबवल लाइन्स िुरािाबाि का पाये जाने के कारण ,
,,,,,,,
385,NOIDA SECTOR-49 ,0421/2015 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-49 ,,Io का बिलना ,
,,,,,,,
386,NOIDA PHASE-II ,0164/2015 ,GAUTAM BUDH NAGAR ,EXPRESSWAY ,,घटना स्थल के आधार पर ,
,,,,,,,
387,NOIDA PHASE-II ,0176/2017 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-39 ,1041/2017 ,घटना स्थल थाना स0ै 39 से सम्बन्न्धत होने के कारण। ,
,,,,,,,
388,NOIDA PHASE-II ,0263/2015 ,GAUTAM BUDH NAGAR ,EXPRESSWAY ,,आिेशानुसार पुमलस अधीक्षक नगर पत्र संख्या आर/एसपीएन 25/2015 ,
,,,,,,,
389,NOIDA PHASE-II ,0266/2015 ,GAUTAM BUDH NAGAR ,MAHILA THANA ,,थाना प्रभारी के आिे शानुसार ,
,,,,,,,
390,NOIDA PHASE-II ,0326/2015 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-39 ,,सैक्टर 39 िें पहले से ही अमभयुक्त के न्खलाफ िौ0सा0 चोरी का ि0ु अ0 स0ं 670/15 धारा 379 भािबव िजट है। अतः बववेचना सैक्टर 39 थानें को स्थानांतररत की जाती है। ,
,,,,,,,
391,NOIDA PHASE-II ,0627/2016 ,GAUTAM BUDH NAGAR ,NOIDA PHASE-II ,,registered ,
,,,,,,,
392,BISRAKH ,7011/2017 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-58 ,,घटना का स0ै 62 थाना स0ै 58 िें होना बताया गया है। ,
,,,,,,,
393,DADRI ,0101/2016 ,GAUTAM BUDH NAGAR ,JARCHA ,,गैंगस्टर एक्ट ,
,,,,,,,
394,JARCHA ,0155/2016 ,GAUTAM BUDH NAGAR ,CYBER CRIME POLICE STATION ,,IT Act का िुकििा होने के कारण ,
,,,,,,,
395,NOIDA SECTOR-20 ,7016/2016 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-24 ,,घटना स्थल थाना नौएडा सैक्टर 24 का होने के कारण ,
,,,,,,,
396,NOIDA SECTOR-39 ,0346/2016 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-39 ,,उक्त एफआईआर हिनााँक 30.04.2016 को िूल सिस्त पत्रो सहहत पत्राचार कर िी गयी थी ,
,,,,,,,
397,GHAZIABAD ,GRP GHAZIABAD ,0995/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल रेलवे स्टेशन कानपुर का होने के कारण स्थानान्तरण थाना जी0आर0पी0 कानपुर 
,,,,,,,
398,NIWARI ,0155/2014 ,GHAZIABAD ,MURAD NAGAR ,,घटना स्थल िुराि नगर का होने के कारण ,
,,,,,,,
399,NIWARI ,0204/2015 ,GHAZIABAD ,MAHILA THANA ,,िहेज सम्बन्न्धत िािलों की बववेचना िहहला थाने से ,
,,,,,,,
400,NIWARI ,0137/2016 ,GHAZIABAD ,MAHILA THANA ,,िहेज से सम्बन्न्धत िुकििा ,
,,,,,,,
401,NIWARI ,0155/2016 ,GHAZIABAD ,MAHILA THANA ,,िहहला थाने से सम्बन्न्धत िुकििा होने के कारण ,
,,,,,,,
402,MASURI ,9995/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला से सम्बन्न्धत अपराध ,
,,,,,,,
403,MASURI ,9997/2015 ,GHAZIABAD ,MAHILA THANA ,0305/2015 ,िहहला से सम्बन्न्धत िुकििा ,
,,,,,,,
404,MURAD NAGAR ,2616/2016 ,GHAZIABAD ,MAHILA THANA ,0210/2016 ,26/05/2016 मनल पर एफआईआर को िहहला थाना भेजा गयी। ,
,,,,,,,
405,MURAD NAGAR ,3016/2016 ,GHAZIABAD ,MAHILA THANA ,0175/2016 ,िहहला से सम्बन्न्धत अपराध होने के कारण मनल पर हकता कर िहहला थाना स्थानान्तररत हकया गया ,
,,,,,,,
406,MURAD NAGAR ,7001/2017 ,GHAZIABAD ,MODI NAGAR ,7024/2017 ,घटना स्थल िोिीनगर होने के कारण ,
,,,,,,,
407,GHAZIABAD KOTWALI ,0508/2016 ,GHAZIABAD ,LINK ROAD ,,घटना थाना मलंकरोड क्षेत्र का होने के कारण ,
,,,,,,,
408,GHAZIABAD KOTWALI ,0712/2016 ,GHAZIABAD ,SIHANI GATE ,1592/2016 ,घटनास्थल थाना मसहानीगेट का है। ,
,,,,,,,
409,GHAZIABAD KOTWALI ,0931/2016 ,GHAZIABAD ,SIHANI GATE ,0361/2017 ,घटना स्थल थाना मसहानीगेट का होने के कारण ,
,,,,,,,
410,BHOJPUR ,0264/2017 ,MEERUT ,BHAWANPUR ,,घटनास्थल थाना भावनपुर िेरठ का होने का कारण ,
,,,,,,,
411,BHOJPUR ,0306/2017 ,MEERUT ,KANKAR KHERA ,,घटनास्थल थाना कंकरखेडा का होने के कारण ,
,,,,,,,
412,GHAZIABAD KOTWALI ,7004/2016 ,GHAZIABAD ,KAVI NAGAR ,,घटनास्थल कबवनगर थाना क्षेत्र का होने के कारण ,
,,,,,,,
413,GHAZIABAD KOTWALI ,7005/2016 ,GHAZIABAD ,KAVI NAGAR ,,घटनास्थल थाना कबवनगर होने के कारण ,
,,,,,,,
414,GHAZIABAD KOTWALI ,9999/2016 ,GHAZIABAD ,MAHILA THANA ,0086/2016 ,अपराध िहहला से सम्बन्न्धत होने के कारण िुकििा अपराध संख्या मनल पर हकता कर िहहला थाना गान्जयाबाि स्थानान्तररत की गयी ,
,,,,,,,
415,GHAZIABAD KOTWALI ,0298/2017 ,GHAZIABAD ,SIHANI GATE ,0493/2017 ,घटना स्थल थाना मसहानी गेट क्षेत्र का होने के कारण ,
,,,,,,,
416,GHAZIABAD KOTWALI ,0390/2017 ,GHAZIABAD ,SIHANI GATE ,0843/2017 ,घटना थाना मसहानी गेट क्षेत्र की होने के कारण ,
,,,,,,,
417,GHAZIABAD KOTWALI ,7004/2017 ,GHAZIABAD ,SIHANI GATE ,7034/2017 ,घटनास्थल थाना मसहानीगेट क्षेत्र से सम्बन्न्धत होने के कारण ,
,,,,,,,
418,GHAZIABAD KOTWALI ,7008/2017 ,GHAZIABAD ,MASURI ,7005/2017 ,घटनास्थल थाना िसूरी से सम्बन्न्धत होने के कारण ,
,,,,,,,
419,GHAZIABAD KOTWALI ,7011/2017 ,GHAZIABAD ,SIHANI GATE ,7124/2017 ,घटनास्थल मसहानीगेट थाना क्षेत्र से सम्बन्न्धत होने के कारण ,
,,,,,,,
420,GHAZIABAD KOTWALI ,7013/2017 ,GHAZIABAD ,SIHANI GATE ,0834/2017 ,घटनास्थल थाना मसहानी गेट का होने के कारण ,
,,,,,,,
421,INDRAPURAM ,0069/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण ,
,,,,,,,
422,INDRAPURAM ,0113/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्न्ध अपराध होने के कारण ,
,,,,,,,
423,INDRAPURAM ,0362/2015 ,GHAZIABAD ,KHODA ,,घटना क्षेत्र थाना खोडा का होने के कारण ,
,,,,,,,
424,INDRAPURAM ,0450/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्न्ध अपराध होने के कारण ,
,,,,,,,
425,INDRAPURAM ,0487/2015 ,GHAZIABAD ,INDRAPURAM ,,िहहला सम्बन्धी अपराध होने के कारण ,
,,,,,,,
426,INDRAPURAM ,0327/2016 ,GHAZIABAD ,LINK ROAD ,,घटना स्थल थाना मलकं रोड क्षेत्रान्तगतट होने के कारण ,
,,,,,,,
427,INDRAPURAM ,2230/2014 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण ,
,,,,,,,
428,INDRAPURAM ,0998/2015 ,GHAZIABAD ,SAHIBABAD ,,घटना क्षेत्र थाना साहहबाबाि का होने के कारण ,
,,,,,,,
429,INDRAPURAM ,1227/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण ,
,,,,,,,
430,INDRAPURAM ,1797/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्धी अपराध होने के कारण ,
,,,,,,,
431,INDRAPURAM ,9991/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्न्धत अपराध होने के कारण ,
,,,,,,,
432,INDRAPURAM ,9992/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्न्धत अपराध होने के कारण ,
,,,,,,,
433,,INDRAPURAM ,9996/2015 ,GHAZIABAD ,MAHILA THANA ,,पुनः स्थानान्न्तरत व िहहला सम्बन्न्धत अपराध होने के कारण 
,,,,,,,
434,INDRAPURAM ,7303/2016 ,GHAZIABAD ,GHAZIABAD KOTWALI ,7002/2016 ,घटना स्थल कोतवाली क्षेत्रान्तगतट आता है ,
,,,,,,,
435,INDRAPURAM ,7388/2016 ,GHAZIABAD ,KHODA ,7005/2016 ,घटना स्थल थाना खोडा का होने के कारण ,
,,,,,,,
436,INDRAPURAM ,7473/2016 ,GHAZIABAD ,SAHIBABAD ,,घटनास्थल थाना साहहबाबाि का होने के कारण ,
,,,,,,,
437,INDRAPURAM ,7552/2016 ,GHAZIABAD ,LINK ROAD ,,घटना स्थल थाना मलंक रोड का होने के कारण ,
,,,,,,,
438,INDRAPURAM ,7811/2016 ,GHAZIABAD ,SIHANI GATE ,1652/2016 ,घटना स्थल थाना मसंहानी गेट का होने के कारण ,
,,,,,,,
439,INDRAPURAM ,7096/2017 ,GHAZIABAD ,LINK ROAD ,,घटनास्थल थाना मलंकरोड का होने के कारण ,
,,,,,,,
440,INDRAPURAM ,7138/2017 ,GHAZIABAD ,KAVI NAGAR ,7008/2017 ,घटना स्थल थानाक्षेत्र कबवनगर का होने के कारण ,
,,,,,,,
441,INDRAPURAM ,7176/2017 ,GHAZIABAD ,VIJAY NAGAR ,7013/2017 ,घटनास्थल थाना बवजय नगर का होने के कारण ,
,,,,,,,
442,INDRAPURAM ,7183/2017 ,GHAZIABAD ,SIHANI GATE ,7036/2017 ,घटनास्थल थाना मसहानीगेट गा0बाि का है ,
,,,,,,,
443,INDRAPURAM ,7196/2017 ,GHAZIABAD ,SIHANI GATE ,7045/2017 ,घटना स्थल थाना मसंहानी गेट का होने के कारण ,
,,,,,,,
444,INDRAPURAM ,7237/2017 ,GHAZIABAD ,TRONICA CITY ,,घटनास्थल थाना ट्रोमनका मसटी गान्जयाबाि का होने के कारण ,
,,,,,,,
445,INDRAPURAM ,7256/2017 ,GHAZIABAD ,SIHANI GATE ,7051/2017 ,घटना स्थल थाना मसंहानी गेट का होने के कारण ,
,,,,,,,
446,INDRAPURAM ,7536/2017 ,GHAZIABAD ,LINK ROAD ,2027/2017 ,घटना स्थल थाना मलंक रोड का होने के कारण ,
,,,,,,,
447,INDRAPURAM ,7537/2017 ,GHAZIABAD ,LINK ROAD ,,घटना स्थल थाना मलंक रोड का होने के कारण ,
,,,,,,,
448,INDRAPURAM ,7538/2017 ,GHAZIABAD ,LINK ROAD ,,घटना स्थल थाना मलंक रोड का होने के कारण ,
,,,,,,,
449,INDRAPURAM ,7578/2017 ,GHAZIABAD ,SAHIBABAD ,,घटना क्षेत्र साहहबाबाि थाना के अन्तगतट आता है ,
,,,,,,,
450,INDRAPURAM ,7909/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटना क्षेत्र थाना कोतवाली गान्जयाबाि का होने के कारण ,
,,,,,,,
